id,fecha,comentario
71350599,2026-08-24 09:10,"Precio 26.990€, 42€/k km, destaca GRSPORT y bajo km; vigila historial."
71351651,2026-08-24 11:53,"Precio 25.490€, 72.125 km, equip. Style Touring, revisa historial"
70058302,2026-08-24 15:21,Precio alto para 8.9k km; vigila equipamiento Style vs precio
71358061,2026-08-25 08:21,"Precio 28.790€, 0,59€/km, equipamiento GRSport Touring, vigilar historial."
71359571,2026-08-25 10:52,"Precio 22.985€, 0,39€/km; destaca equip. Active Plus Tourin, buen estado"
70656697,2026-08-25 12:54,"Precio 32.990€, 7.250 km, verifica garantía híbrida y mantenimiento."
71361533,2026-08-25 13:53,"Precio 21.990€ con 103k km, buen equipamiento STYLE, vigila historial"
71361893,2026-08-25 23:38,"Precio bajo, 1.6k km; buen equipamiento Active Touring."
71362707,2026-08-25 23:38,"Precio alto, 10k km; verifica historial y extras Style Edition."
71371474,2026-08-26 18:10,"Precio 25.500€, 56k km, buen equipamiento; revisa historial híbrido."
71378542,2026-08-27 17:42,"25.990€ por 59.9k km, 180H; revisa batería híbrida."
71261046,2026-08-27 17:42,"26.399€ por 28.5k km, 140H; buen kilometraje, verifica equipamiento."
71383552,2026-08-28 13:58,"Precio bajo 23.9k, pero 100k km; revisa historial de mantenimiento."
71381990,2026-08-28 13:58,"Solo 8.8k km y modelo 2025; buen precio 26.9k, verifica equipamiento."
71382248,2026-08-28 13:58,"Casi nuevo 2026, 5 km; precio 29.99k, comprueba garantía y extras."
71096894,2026-08-28 14:55,"Precio 28,5k, 12k km → 2,36€/km, buen equip. Active Plus, vigila garantía."
71096991,2026-08-28 14:55,"Precio 34,5k, 21k km → 1,64€/km, Style Edition, extras, revisa historial."
70222483,2026-08-28 14:55,"Precio 25,5k, 71k km → 0,36€/km, gran ahorro, revisa batería y desgaste."
70222445,2026-08-28 14:55,"Precio 28,5k, 21,8k km → 1,31€/km, Active Plus, verifica estado neumáticos."
