fecha,modelo,n,minimo,mediano,medio
2026-08-23 21:45,140H,29,19500,27000,25931
2026-08-23 21:45,180H,20,19490,25900,24851
2026-08-23 21:45,200H,16,22699,31490,31311
2026-08-23 22:04,140H,29,19500,27000,25931
2026-08-23 22:04,180H,20,19490,25900,24851
2026-08-23 22:04,200H,16,22699,31490,31311
2026-08-24 01:01,140H,29,19500,27000,25931
2026-08-24 01:01,180H,20,19490,25900,24851
2026-08-24 01:01,200H,16,22699,31490,31311
2026-08-24 07:34,140H,29,19500,27000,25931
2026-08-24 07:34,180H,20,19490,25900,24851
2026-08-24 07:34,200H,16,22699,31490,31311
2026-08-24 09:10,140H,29,19500,27000,25931
2026-08-24 09:10,180H,21,19490,25900,24953
2026-08-24 09:10,200H,16,22699,31490,31311
