fecha,coches,minimo,mediano,medio
2026-08-23 15:19,65,,,26923
2026-08-23 15:30,65,,,26923
2026-08-23 15:35,65,,,26923
2026-08-23 15:38,65,,,26923
2026-08-23 15:51,65,,,26923
2026-08-23 16:37,65,,,26923
2026-08-23 16:40,65,,,26923
2026-08-23 16:45,65,,,26923
2026-08-23 18:54,65,,,26923
2026-08-23 18:56,65,,,26923
2026-08-23 19:00,65,,,26923
2026-08-23 19:03,65,,,26923
2026-08-23 19:09,65,,,26923
2026-08-23 19:12,65,,,26923
2026-08-23 19:17,65,,,26923
2026-08-23 19:21,65,,,26923
2026-08-23 19:26,65,,,26923
2026-08-23 19:28,65,,,26923
2026-08-23 19:30,65,,,26923
2026-08-23 19:33,65,,,26923
2026-08-23 19:37,65,,,26923
2026-08-23 19:41,65,,,26923
2026-08-23 19:49,65,,,26923
2026-08-23 19:59,65,,,26923
2026-08-23 20:59,65,19490,27490,26923
2026-08-23 21:24,65,19490,27490,26923
2026-08-23 21:45,65,19490,27490,26923
2026-08-23 22:04,65,19490,27490,26923
2026-08-24 01:01,65,19490,27490,26923
2026-08-24 07:34,65,19490,27490,26923
2026-08-24 09:10,66,19490,27490,26924
2026-08-24 11:53,67,19490,27399,26910
2026-08-24 12:10,67,19490,27399,26910
2026-08-24 15:21,68,19490,27490,27010
2026-08-24 16:48,68,19490,27490,27010
2026-08-24 17:12,68,19490,27490,27010
2026-08-24 18:52,68,19490,27490,27010
2026-08-24 19:08,68,19490,27490,27010
2026-08-24 20:27,68,19490,27490,27010
2026-08-24 21:32,68,19490,27490,27010
2026-08-25 07:22,68,19490,27490,27010
2026-08-25 08:21,69,19490,27490,27035
2026-08-25 10:52,70,19490,27490,26970
2026-08-25 11:30,70,19490,27490,26970
2026-08-25 12:54,71,19490,27490,27055
2026-08-25 13:53,72,19490,27490,26985
2026-08-25 23:38,74,19490,27500,27056
2026-08-26 07:22,74,19490,27500,27056
2026-08-26 07:26,74,19490,27500,27056
2026-08-26 09:12,74,19490,27500,27056
2026-08-26 18:10,74,19490,27490,27016
2026-08-26 19:34,74,19490,27490,27016
2026-08-26 20:23,74,19490,27490,27016
2026-08-26 20:48,74,19490,27490,27016
2026-08-26 21:38,74,19490,27490,27016
2026-08-26 23:34,74,19490,27490,27016
2026-08-27 00:29,74,19490,27490,27016
2026-08-27 17:42,75,19490,27300,26997
2026-08-28 02:13,75,19490,27300,26997
2026-08-28 13:58,78,19490,27300,26995
2026-08-28 14:38,78,19490,27300,26988
2026-08-28 14:44,78,19490,27300,26988
2026-08-28 14:50,78,19490,27300,26988
2026-08-28 14:55,78,19490,27500,27174
2026-08-28 16:40,80,19490,27500,27157
2026-08-28 17:51,81,19490,27500,27167
2026-08-28 18:51,81,19490,27500,27167
2026-08-28 21:43,81,19490,27500,27167
2026-08-29 01:48,81,19490,27500,27167
2026-08-29 12:45,83,19490,27500,27207
2026-08-29 21:02,85,19490,27490,27176
2026-08-30 10:46,85,19490,27490,27176
2026-08-30 11:09,85,19490,27490,27176
2026-08-30 11:18,85,19490,27490,27176
2026-08-30 12:03,85,19490,27490,27176
2026-08-30 12:53,85,19490,27490,27176
2026-08-30 13:01,85,19490,27490,27176
2026-08-30 21:17,86,19490,27500,27191
2026-08-31 13:49,88,19490,27500,27142
