fecha,id,titulo,precio_nuevo,precio_anterior
2026-08-25 23:38,71025639,TOYOTA Corolla 140H Active Plus Touring Spor,22300,22500
2026-08-25 23:38,71267357,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,26799,27399
2026-08-25 23:38,71270925,TOYOTA Corolla 140H Style Edition Touring Sp,28890,28990
2026-08-26 18:10,71191386,TOYOTA Corolla 140H Active Plus Touring Spor,26890,26900
2026-08-27 17:42,71201409,TOYOTA Corolla 140H Business Touring Sport,19500,19900
2026-08-27 17:42,71167371,TOYOTA Corolla 140H Business Touring Sport,19700,19900
2026-08-28 14:38,71300429,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURI,23499,23999
2026-08-28 17:51,71191386,TOYOTA Corolla 140H Active Plus Touring Spor,26880,26890
2026-08-31 13:49,71084219,TOYOTA Corolla 200H GRSport Touring Sport,29750,30190
2026-08-31 22:57,71375169,TOYOTA Corolla 140H Style Edition Touring Sp,31990,32990
2026-09-01 11:50,71350599,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,26790,26990
2026-09-02 21:10,71191386,TOYOTA Corolla 140H Active Plus Touring Spor,26870,26880
2026-09-03 21:10,71409669,TOYOTA Corolla 140H Style Touring Sport,20980,21480
2026-09-03 21:10,71409740,TOYOTA Corolla 140H Style Touring Sport,20980,21480
2026-09-03 21:10,71402531,TOYOTA Corolla 140H Business Touring Sport,19800,19900
2026-09-04 11:31,71417829,TOYOTA Corolla 140H Active Plus Touring Spor,19900,21000
2026-09-07 21:38,71436372,TOYOTA Corolla 140H Active Plus Touring Spor,21894,21899
2026-09-08 21:17,71374062,TOYOTA Corolla 140H Style Touring Sport,25799,26399
2026-09-08 21:17,71420688,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,26199,26799
2026-09-08 21:17,71421458,TOYOTA Corolla 140H Style Touring Sport,25799,26399
2026-09-08 21:17,71421851,TOYOTA Corolla 140H Style Touring Sport,25799,26399
2026-09-08 21:17,71413750,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,26199,26799
2026-09-08 21:17,71414130,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,26199,26799
2026-09-09 11:36,71402531,TOYOTA Corolla 140H Business Touring Sport,19500,19800
2026-09-09 11:36,71191386,TOYOTA Corolla 140H Active Plus Touring Spor,26895,26899
2026-09-09 21:02,71436372,TOYOTA Corolla 140H Active Plus Touring Spor,21891,21894
2026-09-09 21:02,71410317,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING,27990,29290
2026-09-09 21:02,71043593,TOYOTA Corolla 140H Style Touring Sport,21990,22990
2026-09-10 11:33,71244559,TOYOTA Corolla 2.0 180H STYLE ECVT TOURING S,23499,23780
2026-09-10 11:33,71191386,TOYOTA Corolla 140H Active Plus Touring Spor,26891,26895
2026-09-10 11:33,71374659,TOYOTA Corolla 140H Style Touring Sport,25799,26399
2026-09-10 21:01,71421620,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURI,22999,23499
2026-09-10 21:01,71420963,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURI,22999,23499
2026-09-10 21:01,71414706,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURI,22999,23499
2026-09-11 11:35,71402531,TOYOTA Corolla 140H Business Touring Sport,19400,19500
